"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","REC"
"9eeb37ab369d9f263c08e59d48c20920",101.212023306902,-7.16607230001177,1.23757172644721,-5.3177603032218,1.0505233382608e-07,1.01550589365211e-06,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium"
"ba6b8677a024bd6fb6f0f28f24794664",12.655385027023,-4.43680229667812,1.33206334751225,-2.89163409769559,0.0038324400195303,0.00926173004719822,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas"
"345ee90c0d9bb3028b641ea58a2a5f73",60.565606978563,-6.33937407415285,1.22891164891322,-4.68252667188938,2.83360303800641e-06,1.3695748017031e-05,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides"
"5181cfd3246d68571628a84f6d7774d8",12.6242466153104,-4.49425703693773,1.46145382514358,-2.6749353752812,0.00747436564726289,0.0154826145550446,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter"
"ef53c96349a804410165ad1870cfc6b2",577.400057624889,3.4446232994409,0.192894982033449,14.8249621041145,1.0103691280895e-49,2.93007047145955e-48,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas"
"623654a68a8b850c15dfe14ea0305eef",8.54187068682883,-4.50223783509129,1.40129956882337,-2.79545888796594,0.00518260930373648,0.0115612053698737,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Tepidimonas","Tepidimonas"
"bc44915a0352691cc51940bd90fc8321",112.082565235146,1.67667068469639,0.331473022834608,3.29350537983283,0.000989464480810287,0.00286944699434983,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","Corynebacterium"
"06c9d593ff06ac4631b576f9678dbe70",10.8265863620878,-4.97780902354892,1.49697440403872,-2.93448338927921,0.00334103435511996,0.00880818148167991,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","Trueperella"
"9a51009b55aca2f468f71e938eccd22e",52.0330737668436,-6.08903601496223,1.23688572916467,-4.44994503894734,8.58922674908119e-06,3.55839393890507e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus"
"b39d1b83c8d53619f16d68b941b8c0fe",4409.52043807781,-2.34137209154566,0.336068891705859,-5.22633791514921,1.72900247496283e-07,1.25352679434805e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus"
"4669f785716df43aa86c9a990e619eb1",4772.9045720613,-2.12840464752688,0.255056853127954,-6.05136512850894,1.43623501528136e-09,2.08254077215798e-08,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus"
"333a40af36286f867e8e903e420016d4",2541.99693838294,-1.64071481500505,0.211915229348813,-4.98195583926685,6.29448017317625e-07,3.65079850044223e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus"
"19bfaf559b3233830b1b54792a67e83a",37.174199718486,-5.55546823154409,1.25945085464052,-3.94656584852742,7.92801250694637e-05,0.000287390453376806,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","","Bacillaceae"
"d1bfe58aad618b7d5bdf9fde5c91085c",5.7417622595826,-4.14778693307254,1.826706607676,-1.9504086848868,0.0511274275377975,0.0988463599064085,"Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Helcococcus","Helcococcus"
"71cc69f84c94166e9c053211237a4f1b",14.4282536756113,-5.28144680692102,1.30507638570101,-3.59862790994966,0.000319900502871367,0.00103079050925218,"Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus","Peptoniphilus"
