"","Blank.30ml.UHT.1","1.1","1.2","1.3","10CC.NC","10CV.NC","10TV.NC","10UC.NC","10UV.NC","1CC.NC"
"Blank.30ml.UHT.1",0,0.628070175438596,0.710025062656642,0.66015037593985,0.77218045112782,0.827067669172932,0.437593984962406,0.761904761904762,0.899248120300752,0.825563909774436
"1.1",0.628070175438596,0,0.189974937343358,0.159899749373434,0.766416040100251,0.835338345864662,0.748370927318296,0.749874686716792,0.914035087719298,0.807268170426065
"1.2",0.710025062656642,0.189974937343358,0,0.146115288220551,0.780952380952381,0.81203007518797,0.731077694235589,0.750877192982456,0.895488721804511,0.801503759398496
"1.3",0.66015037593985,0.159899749373434,0.146115288220551,0,0.78922305764411,0.836591478696742,0.741102756892231,0.765914786967419,0.89874686716792,0.81453634085213
"10CC.NC",0.77218045112782,0.766416040100251,0.780952380952381,0.78922305764411,0,0.26265664160401,0.764661654135338,0.228822055137845,0.881203007518797,0.207769423558897
"10CV.NC",0.827067669172932,0.835338345864662,0.81203007518797,0.836591478696742,0.26265664160401,0,0.654636591478697,0.303759398496241,0.882456140350877,0.33984962406015
"10TV.NC",0.437593984962406,0.748370927318296,0.731077694235589,0.741102756892231,0.764661654135338,0.654636591478697,0,0.705764411027569,0.868170426065163,0.786466165413534
"10UC.NC",0.761904761904762,0.749874686716792,0.750877192982456,0.765914786967419,0.228822055137845,0.303759398496241,0.705764411027569,0,0.869674185463659,0.366917293233083
"10UV.NC",0.899248120300752,0.914035087719298,0.895488721804511,0.89874686716792,0.881203007518797,0.882456140350877,0.868170426065163,0.869674185463659,0,0.883959899749373
"1CC.NC",0.825563909774436,0.807268170426065,0.801503759398496,0.81453634085213,0.207769423558897,0.33984962406015,0.786466165413534,0.366917293233083,0.883959899749373,0
